epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3576.13,0.88927,0.56626,0.95731,0.91488,0.93379,0.96289,0.67766,0.95602,0.57885,0.95767,0.000848969,0.000848969,0.000848969
43,3656.45,0.87815,0.54471,0.94922,0.92848,0.92497,0.96058,0.68955,0.95143,0.56703,0.94829,0.000834822,0.000834822,0.000834822
44,3737.05,0.87236,0.60324,0.93085,0.91882,0.94415,0.96472,0.7013,0.93074,0.56685,0.95025,0.000820675,0.000820675,0.000820675
45,3817.72,0.88939,0.58518,0.94792,0.92303,0.92299,0.95166,0.69558,0.92929,0.57698,0.94874,0.000806528,0.000806528,0.000806528
46,3898.34,0.87969,0.55963,0.95267,0.90711,0.94322,0.96923,0.70065,0.93197,0.55813,0.94884,0.00079238,0.00079238,0.00079238
47,3978.92,0.86574,0.56943,0.9484,0.93519,0.92151,0.96506,0.69436,0.93852,0.56964,0.94654,0.000778233,0.000778233,0.000778233
48,4059.64,0.87325,0.55742,0.94229,0.92727,0.92412,0.96066,0.68832,0.94256,0.58912,0.95382,0.000764086,0.000764086,0.000764086
49,4140.15,0.87937,0.53741,0.94686,0.92961,0.93268,0.96319,0.70119,0.92439,0.56651,0.94747,0.000749939,0.000749939,0.000749939
50,4220.82,0.88305,0.54182,0.94914,0.92735,0.92292,0.95142,0.69099,0.93416,0.57772,0.94925,0.000735792,0.000735792,0.000735792
51,4301.32,0.88322,0.54152,0.94199,0.94354,0.94074,0.97013,0.70382,0.93943,0.54214,0.95404,0.000721645,0.000721645,0.000721645
52,4382.01,0.86889,0.51891,0.94608,0.93621,0.92709,0.96358,0.69981,0.92241,0.54887,0.94602,0.000707498,0.000707498,0.000707498
53,4462.72,0.85709,0.52326,0.94138,0.95311,0.91496,0.96978,0.70756,0.93209,0.53968,0.94525,0.000693351,0.000693351,0.000693351
54,4543.36,0.86412,0.52481,0.94351,0.93174,0.94567,0.97024,0.70793,0.91185,0.54897,0.94038,0.000679204,0.000679204,0.000679204
55,4624.02,0.86363,0.5265,0.93762,0.94582,0.9442,0.97557,0.70539,0.92768,0.53815,0.9418,0.000665057,0.000665057,0.000665057
56,4704.63,0.86158,0.52727,0.93943,0.93101,0.94732,0.96952,0.7069,0.93194,0.53513,0.94393,0.000650909,0.000650909,0.000650909
57,4785.35,0.85791,0.52125,0.94433,0.92942,0.93738,0.97206,0.70664,0.92577,0.54238,0.94585,0.000636762,0.000636762,0.000636762
58,4865.83,0.85444,0.57637,0.9312,0.92762,0.94547,0.97293,0.71227,0.94628,0.56124,0.9511,0.000622615,0.000622615,0.000622615
59,4946.52,0.85715,0.53676,0.93797,0.94241,0.92008,0.95972,0.69737,0.94223,0.54299,0.95332,0.000608468,0.000608468,0.000608468
60,5027.01,0.85641,0.50764,0.93945,0.9314,0.94394,0.95967,0.69528,0.93259,0.56548,0.95055,0.000594321,0.000594321,0.000594321
61,5107.46,0.84944,0.5013,0.93204,0.94144,0.93655,0.97444,0.70727,0.92592,0.52768,0.9426,0.000580174,0.000580174,0.000580174
62,5187.97,0.85118,0.52391,0.93457,0.9504,0.94888,0.97384,0.71232,0.93358,0.5144,0.94787,0.000566027,0.000566027,0.000566027
63,5268.62,0.85795,0.50926,0.93693,0.93201,0.95608,0.97033,0.70641,0.92322,0.52459,0.94268,0.00055188,0.00055188,0.00055188
64,5349.12,0.84152,0.50167,0.93164,0.9355,0.93842,0.96533,0.70152,0.93158,0.56053,0.95013,0.000537733,0.000537733,0.000537733
65,5429.68,0.85065,0.49798,0.93143,0.93378,0.94811,0.9734,0.71303,0.92196,0.53498,0.94693,0.000523586,0.000523586,0.000523586
66,5510.43,0.83753,0.50149,0.92569,0.93147,0.93921,0.96296,0.69974,0.90896,0.54158,0.94285,0.000509438,0.000509438,0.000509438
67,5591.09,0.83854,0.48667,0.92824,0.93975,0.94256,0.97327,0.69978,0.9347,0.52838,0.94548,0.000495291,0.000495291,0.000495291
68,5671.63,0.83496,0.48285,0.92932,0.95061,0.94019,0.96684,0.71088,0.90916,0.50976,0.93847,0.000481144,0.000481144,0.000481144
69,5752.28,0.83088,0.48193,0.92238,0.94866,0.94612,0.97133,0.71709,0.91382,0.50884,0.93565,0.000466997,0.000466997,0.000466997
70,5833.1,0.83286,0.47409,0.93122,0.94245,0.94328,0.97198,0.71915,0.90742,0.50317,0.93377,0.00045285,0.00045285,0.00045285
71,5913.87,0.83363,0.48574,0.92745,0.93939,0.9527,0.96977,0.71665,0.91148,0.51424,0.94258,0.000438703,0.000438703,0.000438703
72,5994.44,0.83499,0.48254,0.92298,0.93786,0.94965,0.96529,0.70971,0.9181,0.51182,0.94351,0.000424556,0.000424556,0.000424556
73,6074.87,0.82947,0.47217,0.9225,0.94665,0.94423,0.96674,0.70652,0.92747,0.51814,0.94325,0.000410409,0.000410409,0.000410409
74,6155.4,0.82219,0.4705,0.92381,0.95932,0.93416,0.96909,0.71501,0.91341,0.50686,0.93763,0.000396262,0.000396262,0.000396262
75,6236.07,0.83136,0.45602,0.92202,0.94536,0.94914,0.97147,0.72009,0.91407,0.5029,0.93674,0.000382115,0.000382115,0.000382115
76,6316.62,0.82156,0.46095,0.92652,0.94746,0.94789,0.97146,0.71793,0.91233,0.49476,0.93481,0.000367967,0.000367967,0.000367967
77,6397.25,0.8179,0.45604,0.92159,0.9398,0.95852,0.96923,0.7207,0.91108,0.4921,0.93499,0.00035382,0.00035382,0.00035382
78,6477.78,0.81233,0.45443,0.92244,0.954,0.94811,0.96833,0.71991,0.9012,0.49082,0.93343,0.000339673,0.000339673,0.000339673
79,6558.47,0.82132,0.45776,0.91798,0.95992,0.94073,0.9749,0.72594,0.90656,0.48378,0.93163,0.000325526,0.000325526,0.000325526
80,6651.26,0.81953,0.45468,0.91762,0.95229,0.94588,0.97067,0.71565,0.92292,0.49027,0.93699,0.000311379,0.000311379,0.000311379
81,6750.92,0.81796,0.46774,0.9207,0.95716,0.94997,0.97621,0.72369,0.91208,0.47561,0.93669,0.000297232,0.000297232,0.000297232
82,6850.7,0.81071,0.44378,0.9104,0.94134,0.96022,0.97274,0.72089,0.90558,0.48476,0.9335,0.000283085,0.000283085,0.000283085
83,6950.4,0.79862,0.43828,0.91238,0.95894,0.95286,0.97382,0.72203,0.9125,0.48143,0.93561,0.000268938,0.000268938,0.000268938
84,7050.41,0.81149,0.43951,0.91141,0.95215,0.95549,0.97484,0.72036,0.91367,0.47772,0.93566,0.000254791,0.000254791,0.000254791
85,7150.3,0.80969,0.45305,0.9207,0.95613,0.95685,0.97497,0.72167,0.91135,0.47724,0.93508,0.000240644,0.000240644,0.000240644
86,7250.38,0.8139,0.45054,0.91675,0.96111,0.95202,0.97889,0.72032,0.91286,0.47277,0.93377,0.000226497,0.000226497,0.000226497
87,7350.09,0.80811,0.44126,0.91271,0.95315,0.94858,0.9782,0.72038,0.92138,0.48498,0.93986,0.000212349,0.000212349,0.000212349
88,7450.45,0.80628,0.44305,0.91466,0.95985,0.94972,0.97658,0.72569,0.904,0.46661,0.93378,0.000198202,0.000198202,0.000198202
89,7550.45,0.80662,0.44273,0.91327,0.96377,0.95007,0.97628,0.72709,0.89637,0.45643,0.92857,0.000184055,0.000184055,0.000184055
90,7650.3,0.80781,0.43808,0.92085,0.94626,0.95733,0.97117,0.7211,0.90311,0.47168,0.93044,0.000169908,0.000169908,0.000169908
91,7751.48,0.79666,0.43601,0.90633,0.95062,0.96004,0.97085,0.7204,0.9045,0.46471,0.93032,0.000155761,0.000155761,0.000155761
92,7851.42,0.7896,0.42528,0.9153,0.94919,0.9589,0.97321,0.72559,0.90711,0.46715,0.93058,0.000141614,0.000141614,0.000141614
93,7951.62,0.79001,0.41819,0.91303,0.95433,0.9577,0.97372,0.73012,0.90312,0.46398,0.93231,0.000127467,0.000127467,0.000127467
94,8051.74,0.79488,0.42986,0.91734,0.9464,0.9584,0.97254,0.72138,0.90619,0.4676,0.93237,0.00011332,0.00011332,0.00011332
95,8151.56,0.79117,0.42519,0.9084,0.96144,0.95485,0.97566,0.72386,0.90656,0.46195,0.93398,9.91726e-05,9.91726e-05,9.91726e-05
96,8251.73,0.78827,0.41741,0.90437,0.95908,0.95703,0.97593,0.72572,0.90337,0.47116,0.93273,8.50255e-05,8.50255e-05,8.50255e-05
97,8351.86,0.78787,0.41672,0.91425,0.95804,0.95254,0.97432,0.7222,0.90454,0.46949,0.93363,7.08784e-05,7.08784e-05,7.08784e-05
98,8452.12,0.78574,0.41423,0.91071,0.95744,0.95383,0.97322,0.72578,0.90061,0.46316,0.93174,5.67313e-05,5.67313e-05,5.67313e-05
99,8552.37,0.79479,0.41226,0.90904,0.96034,0.953,0.97291,0.72391,0.9024,0.46404,0.93115,4.25842e-05,4.25842e-05,4.25842e-05
100,8652.25,0.77889,0.40896,0.90501,0.94766,0.96157,0.97259,0.72349,0.904,0.46649,0.93204,2.84371e-05,2.84371e-05,2.84371e-05
